food_id;food_name;kcal;protein;carbohydrate;fiber;img_path
156;Taioba, crua;34.2;2.9;5.4;4.5;NULL
157;Tomate, com semente, cru;15.3;1.1;3.1;1.2;NULL
158;Tomate, ex ato;60.9;2.4;15.0;2.8;NULL
159;Tomate, molho indus ializado;38.4;1.4;7.7;3.1;NULL
160;Tomate, purê;27.9;1.4;6.9;1.0;NULL
161;Tomate, salada;20.5;0.8;5.1;2.3;NULL
162;Vagem, crua;24.9;1.8;5.3;2.4;NULL
163;Abacate, cru;96.2;1.2;6.0;6.3;NULL
164;Abacaxi, cru;48.3;0.9;12.3;1.0;NULL
165;Abacaxi, polpa, congelada;30.6;0.5;7.8;0.3;NULL
166;Abiu, cru;62.4;0.8;14.9;1.7;NULL
167;Açaí, polpa, com xarope de guaraná e glucose;110.3;0.7;21.5;1.7;NULL
168;Açaí, polpa, congelada;58.0;0.8;6.2;2.6;NULL
169;Acerola, crua;33.5;0.9;8.0;1.5;NULL
170;Acerola, polpa, congelada;21.9;0.6;5.5;0.7;NULL
171;Ameixa, calda, enlatada ;182.8;0.4;46.9;0.5;NULL
172;Ameixa, crua;52.5;0.8;13.9;2.4;NULL
173;Ameixa, em calda, enlatada, dre da ;177.4;1.0;47.7;4.5;NULL
174;Atemóia, crua;97.0;1.0;25.3;2.1;NULL
175;Ba  , da terra, crua;128.0;1.4;33.7;1.5;NULL
176;Ba  , doce em barra;280.1;2.2;75.7;3.8;NULL
177;Ba  , figo, crua;105.1;1.1;27.8;2.8;NULL
178;Ba  , maçã, crua;86.8;1.8;22.3;2.6;NULL
179;Ba  ,  nica, crua;91.5;1.4;23.8;1.9;NULL
180;Ba  , ouro, crua;112.4;1.5;29.3;2.0;NULL
181;Ba  , pacova, crua;77.9;1.2;20.3;2.0;NULL
182;Ba  , prata, crua;98.2;1.3;26.0;2.0;NULL
183;Cacau, cru;74.3;1.0;19.4;2.2;NULL
184;Cajá-Manga, cru;45.6;1.3;11.4;2.6;NULL
185;Cajá, polpa, congelada;26.3;0.6;6.4;1.4;NULL
186;Caju, cru;43.1;1.0;10.3;1.7;NULL
187;Caju, polpa, congelada;36.6;0.5;9.4;0.8;NULL
188;Caju, suco concen ado, envasado;45.1;0.4;10.7;0.6;NULL
189;Caqui, chocolate, cru;71.4;0.4;19.3;6.5;NULL
190;Carambola, crua;45.7;0.9;11.5;2.0;NULL
191;Ciriguela, crua;75.6;1.4;18.9;3.9;NULL
